English word,French word,Frequency
abide,respecter,35
about,sur,391
above,au dessus,145
abroad,à l'étranger,48
absence,absence,52
abuse,abuser de,46
according,selon,45
account,Compte,44
accuse,accuser,36
acquainted,connaissance,39
action,action,106
advantage,avantage,68
advice,Conseil,41
affairs,affaires,61
affection,affection,71
affections,affections,35
afraid,peur,36
after,après,410
afterwards,ensuite,37
again,encore,666
alive,vivant,78
almost,presque,161
alone,seul,210
along,le long de,100
already,déjà,135
although,bien que,79
always,toujours,63
ambition,ambition,42
ancient,ancien,76
angel,ange,52
anger,colère,55
another,un autre,435
answer,répondre,405
anything,n'importe quoi,96
apparel,vêtements,39
appear,apparaître,144
appears,apparaît,49
approach,approche,72
argument,argument,60
ariel,Ariel,90
armour,armure,37
aside,de côté,462
asleep,endormi,49
assure,assurer,50
athens,Athènes,68
attend,assister,116
attended,assisté,38
authority,autorité,51
avoid,éviter,35
awake,éveillé,72
awhile,quelque temps,89
banish,bannir,126
barren,Dénudé,39
bassianus,bassianus,42
bastard,Connard,203
battle,bataille,104
beard,barbe,80
bearing,palier,72
bears,ours,101
beast,la bête,67
beaten,battu,45
beauty,beauté,222
because,car,187
become,devenir,139
bedford,Bedford,49
before,avant,817
beggar,mendiant,70
begin,commencer,107
behalf,nom,41
behind,derrière,113
behold,voir,161
being,étant,663
believe,croyez,236
belike,être comme,40
below,au dessous de,52
benefit,avantage,35
besides,outre,109
betray,trahir,57
better,mieux,578
between,entre,240
beyond,au-delà,60
birth,naissance,79
bishop,évêque,48
bitter,amer,72
black,noir,170
blame,faire des reproches,80
bless,bénir,119
blessing,bénédiction,43
blest,heureux,51
blind,aveugle,79
blood,du sang,615
blows,coups,67
blunt,cru,64
blush,rougir,51
bodies,corps,42
bones,des os,72
borne,supporté,80
bottom,bas,100
bought,acheté,49
bound,lié,166
bounty,prime,41
brain,cerveau,86
brains,cerveaux,41
brave,courageux,156
breast,Sein,89
breath,souffle,209
breed,race,49
brief,bref,82
bright,brillant,70
bring,apporter,447
broke,cassé,85
brook,ruisseau,75
brother,frère,596
brought,apporté,196
brows,sourcils,44
burden,fardeau,45
buried,enterré,55
burning,brûlant,48
business,Entreprise,210
cannot,ne peux pas,761
capitol,Capitole,34
captain,capitaine,167
cardinal,cardinal,152
cares,se soucie,34
carry,porter,87
castle,Château,100
catch,capture,73
cause,cause,311
cease,cesser,45
certain,certain,165
chain,chaîne,55
chair,chaise,37
challenge,défi,44
chamber,chambre,110
chance,chance,101
change,changement,143
charge,charge,184
charity,charité,49
chaste,chaste,36
cheek,joue,68
cheer,acclamation,71
chide,gronder,48
chief,chef,108
child,enfant,215
choice,choix,60
church,église,58
cinna,cinna,35
citizen,citoyenne,186
civil,civil,50
claim,prétendre,60
clarence,clarté,198
claud,claud,125
claudio,Claudio,167
clear,clair,64
clifford,Clifford,132
close,proche,93
cloten,cailloter,109
clothes,vêtements,33
clouds,des nuages,58
clown,pitre,350
college,Université,226
colour,Couleur,83
comes,vient,602
comfort,confort,176
coming,venir,141
cominius,cominius,103
command,commander,159
commanded,commandé,38
commend,saluer,89
commercial,commercial,221
commission,commission,40
commit,commettre,39
common,commun,150
companion,un compagnon,35
company,entreprise,177
complete,Achevée,245
complexion,complexion,37
condition,état,55
conduct,conduite,47
confess,avouer,141
conscience,conscience,117
consent,consentement,90
consider,considérer,55
constable,gendarme,81
constant,constant,47
contempt,mépris,39
content,contenu,144
contrary,contraire,39
copies,copies,446
copyright,droits d'auteur,228
could,pourrait,626
council,conseil,45
counsel,Conseil,123
count,compter,123
counterfeit,contrefaire,47
countess,comtesse,120
country,pays,175
courage,courage,64
course,cours,149
court,tribunal,228
courtesy,courtoisie,58
cousin,cousin,247
coward,lâche,79
crave,demander,42
creature,créature,66
credit,crédit,49
cromwell,Cromwell,43
cross,traverser,98
crown,couronne,269
cruel,cruel,68
cunning,ruse,76
cupid,Cupidon,56
curse,malédiction,97
custom,Douane,41
dagger,dague,43
damned,damné,45
dance,Danse,63
danger,danger,94
darkness,obscurité,37
daughter,fille,386
deadly,mortel,49
dearest,très cher,55
dearly,chèrement,39
death,décès,820
deeds,actes,108
defend,défendre,65
degree,diplôme,40
delight,délice,51
deliver,livrer,138
demand,demande,55
denied,refusé,51
depart,partir,62
desert,désert,42
deserve,mériter,63
desire,le désir,206
despair,désespoir,45
desperate,désespéré,46
despite,malgré,50
device,dispositif,38
devil,diable,226
devise,concevoir,48
didst,didst,183
dinner,dîner,79
discourse,discours,56
discover,découvrir,43
disgrace,disgrâce,47
dishonour,déshonorer,48
dispatch,envoi,85
displeasure,mécontentement,40
disposition,disposition,42
distributed,distribué,443
divine,Divin,46
doctor,docteur,107
doing,Faire,73
dolabella,Dolabella,39
doors,des portes,59
double,double,90
doubt,doute,163
download,Télécharger,221
dramatis,dramatis,36
drawn,tiré,83
dread,crainte,48
dreadful,horrible,59
dream,rêver,121
dreams,rêves,44
drink,boisson,151
drops,gouttes,52
drown,noyer,87
drums,tambours,40
drunk,ivre,61
duncan,Duncan,39
durst,durst,50
dwell,habiter,38
dying,en train de mourir,47
early,de bonne heure,45
earth,Terre,292
edmund,Edmund,64
effect,effet,64
egypt,Egypte,42
either,Soit,169
elbow,coude,55
elder,aîné,41
embrace,embrasse,66
emilia,Émilie,146
emperor,empereur,103
empty,vide,45
encounter,rencontre,52
endure,supporter,75
enemies,ennemis,94
enemy,ennemi,148
enjoy,prendre plaisir,52
enobarbus,énobarbus,152
enough,assez,282
enter,entrer,2355
entertain,divertir,54
entertainment,divertissement,36
entreat,supplier,106
equal,égal,45
estate,biens,46
eternal,éternel,38
every,chaque,492
everything,tout,42
excellent,excellent,117
except,sauf,38
excuse,excuse,72
execution,exécution,43
exeter,Exeter,97
exeunt,sortir,1020
express,Express,46
faces,visages,44
faint,perdre connaissance,44
fairy,Fée,58
faith,Foi,385
falls,des chutes,78
false,faux,288
familiar,familier,36
fancy,fantaisie,49
farewell,adieu,321
farther,plus loin,40
fashion,mode,106
fatal,fatal,44
father,père,1002
fault,faute,155
favour,favoriser,132
fearful,craintif,88
fears,peurs,69
feast,le banquet,94
feeble,faible,36
fellow,compagnon,297
fenton,Fenton,43
ferdinand,Ferdinand,53
fetch,chercher,123
field,champ,164
fiend,démon,64
fierce,féroce,39
fiery,ardent,47
fight,bats toi,269
figure,figure,37
finds,trouve,42
finger,doigt,64
first,première,1150
flatter,flatter,52
flesh,la chair,125
flies,mouches,54
flight,vol,48
flood,inonder,38
flourish,fleurir,137
flower,fleur,47
flowers,fleurs,40
follow,suivre,329
folly,folie,74
foolish,insensé,94
fools,imbéciles,98
forbear,ancêtre,50
forbid,interdire,69
force,Obliger,103
forces,les forces,40
forest,forêt,69
forget,oublier,93
former,ancien,61
forsooth,en vérité,40
forth,en avant,339
fortune,fortune,355
forward,vers l'avant,82
fought,combattu,61
found,a trouvé,222
fourth,Quatrième,51
frame,Cadre,44
france,France,474
freely,librement,51
french,français,214
fresh,Frais,89
friend,ami,388
frown,froncer les sourcils,49
fruit,fruit,36
further,plus loin,177
gallant,galant,52
garden,jardin,46
gates,portes,89
gaunt,décharné,69
general,général,201
gentle,doux,366
ghost,fantôme,86
given,donné,187
giving,donnant,60
glass,verre,65
glorious,glorieux,41
glory,gloire,85
going,Aller,99
golden,d'or,91
goodness,la bonté,52
gower,gower,49
grace,la grâce,554
grant,subvention,105
grave,la tombe,167
great,génial,904
green,vert,104
greet,saluer,42
grief,douleur,198
grieve,pleurer,38
gross,brut,53
ground,sol,146
grown,grandi,60
guard,garde,122
guess,devine,49
guilty,coupable,69
habit,habitude,38
hands,mains,291
hanging,pendaison,40
hangs,bloque,36
happiness,bonheur,56
happy,heureux,201
haste,hâte,146
hateful,odieux,39
having,ayant,154
hazard,danger,40
heads,têtes,104
health,santé,97
heard,entendu,344
heart,cœur,988
heaven,paradis,628
heavy,lourd,163
hector,Hector,207
heels,talons,65
hence,Par conséquent,326
henceforth,désormais,40
hereafter,"ci-après, par la suite",45
herself,se,90
highness,altesse,180
holds,tient,81
hollow,creux,47
honest,honnête,275
horse,cheval,221
hostess,hôtesse,108
hours,heures,132
house,maison,518
hubert,Hubert,94
humble,humble,70
humour,humour,88
hundred,cent,113
husband,mari,290
ignorant,ignorant,48
image,image,46
includes,comprend,223
indeed,En effet,404
infinite,infini,38
innocent,innocent,50
instant,instant,58
intend,avoir l'intention,52
intent,intention,46
issue,problème,103
itself,lui-même,218
jealous,jaloux,45
jewel,bijou,53
judge,juge,86
judgment,jugement,95
julia,Julia,151
justice,Justice,226
keeps,garde,74
kindness,la gentillesse,47
kingdom,Royaume,96
kings,rois,105
knave,fripon,158
kneel,s'agenouiller,66
knees,les genoux,48
knife,couteau,48
knight,Chevalier,112
knock,frappe,81
knowing,connaissance,46
knowledge,connaissance,75
known,connu,178
knows,sait,210
labour,la main d'oeuvre,88
ladies,Dames,140
ladyship,Madame,39
lands,terres,49
large,grand,72
laugh,rire,105
launce,lancer,81
lawful,légitime,60
learn,apprendre,116
learned,appris,47
least,moins,98
leave,laisser,639
leisure,loisir,56
leontes,leontes,149
letter,lettre,218
liberty,liberté,65
library,bibliothèque,232
liege,Liege,130
lieutenant,lieutenant,70
light,lumière,250
limbs,membres,45
little,peu,471
lives,vies,197
living,vivant,114
longer,plus long,107
looks,regards,201
loose,ample,48
lords,seigneurs,419
lordship,seigneurie,118
lorenzo,Lorenzo,77
lovely,charmant,53
lovers,les amoureux,60
loves,aime,189
loving,aimant,118
lucentio,Lucentio,126
machine,machine,223
madness,la démence,61
maiden,jeune fille,49
maids,servantes,39
maintain,maintenir,53
majesty,majesté,245
makes,fait du,355
making,fabrication,80
malice,malice,67
manner,manière,77
march,Mars,122
marcius,Marcius,134
marcus,Marcus,136
margaret,margaret,201
maria,maria,114
mariana,Mariana,47
marriage,mariage,102
marry,marier,360
master,Maître,797
